<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTSS,D,20210104,000000,331.9000000,336.2000000,331.9000000,334.9000000,2223540
MTSS,D,20210105,000000,333.8500000,338.8500000,332.6000000,337.8000000,2619540
MTSS,D,20210106,000000,337.9000000,337.9000000,330.7000000,334.0500000,2674400
MTSS,D,20210108,000000,334.9000000,339.8000000,334.8000000,339.4000000,4190700
MTSS,D,20210111,000000,337.6500000,340.1000000,335.5000000,337.5500000,4123640
MTSS,D,20210112,000000,337.0500000,339.4000000,332.7000000,334.2000000,3474930
MTSS,D,20210113,000000,334.7000000,335.4000000,330.0000000,331.9000000,2900720
MTSS,D,20210114,000000,332.2500000,338.4000000,330.4000000,337.3500000,3274980
MTSS,D,20210115,000000,335.3000000,337.4500000,332.7500000,332.8500000,2561210
MTSS,D,20210118,000000,333.6500000,334.2000000,331.0500000,333.0000000,1394820
MTSS,D,20210119,000000,333.4500000,334.2500000,330.0000000,331.1000000,2746250
MTSS,D,20210120,000000,331.0000000,333.2000000,330.6500000,332.2000000,1383870
MTSS,D,20210121,000000,332.2000000,333.7500000,327.7000000,329.3000000,3314250
MTSS,D,20210122,000000,328.6000000,330.8500000,325.0000000,329.9000000,3894390
MTSS,D,20210125,000000,330.4500000,335.1500000,329.4500000,333.8000000,2699360
MTSS,D,20210126,000000,334.6500000,336.9500000,332.4500000,336.3000000,2527790
MTSS,D,20210127,000000,336.7500000,337.3500000,333.0000000,334.5000000,2874520
MTSS,D,20210128,000000,334.9500000,337.2000000,332.7500000,333.6000000,5106010
MTSS,D,20210129,000000,333.6000000,333.8500000,328.8000000,328.8500000,3193530
MTSS,D,20210201,000000,330.0000000,331.8500000,326.8500000,330.7500000,1451640
MTSS,D,20210202,000000,331.2000000,333.3500000,330.2000000,331.9500000,2028860
MTSS,D,20210203,000000,332.7000000,335.3000000,330.9000000,335.0500000,2304510
MTSS,D,20210204,000000,335.1000000,335.8500000,331.2000000,333.5500000,2894250
MTSS,D,20210205,000000,332.8000000,338.1000000,331.6000000,336.0000000,2966750
MTSS,D,20210208,000000,336.3000000,336.5000000,332.0000000,333.7500000,3697870
MTSS,D,20210209,000000,333.5500000,333.9000000,331.5500000,333.3000000,1929740
MTSS,D,20210210,000000,333.3500000,334.1500000,329.5000000,330.4000000,1876860
MTSS,D,20210211,000000,330.9500000,331.1500000,326.1500000,328.4500000,2719300
MTSS,D,20210212,000000,328.1000000,329.0500000,323.0000000,327.1000000,3503250
MTSS,D,20210215,000000,327.7000000,330.8000000,327.5000000,330.1500000,1815000
MTSS,D,20210216,000000,330.1500000,331.4000000,327.5000000,327.9000000,2161810
MTSS,D,20210217,000000,327.8500000,329.4500000,322.7500000,323.1000000,5360820
MTSS,D,20210218,000000,324.1000000,324.4500000,320.0500000,320.7000000,3402880
MTSS,D,20210219,000000,320.8000000,323.6000000,319.0500000,322.4000000,3212660
MTSS,D,20210220,000000,322.4500000,323.7000000,320.7000000,323.2000000,530900
MTSS,D,20210222,000000,323.4500000,323.9000000,319.8000000,320.2000000,1906820
MTSS,D,20210224,000000,320.0500000,320.2000000,313.9000000,315.6500000,7039990
MTSS,D,20210225,000000,316.6000000,317.9500000,313.9000000,314.8000000,3956640
MTSS,D,20210226,000000,313.5000000,316.6000000,311.8000000,313.0500000,5088820
MTSS,D,20210301,000000,314.7500000,317.1000000,313.3000000,316.7000000,3117480
MTSS,D,20210302,000000,316.4500000,319.4000000,315.1500000,318.9000000,3762980
MTSS,D,20210303,000000,318.9500000,321.6500000,315.6000000,315.8000000,3626830
MTSS,D,20210304,000000,316.9500000,326.0000000,314.3000000,319.0000000,9905400
MTSS,D,20210305,000000,320.8000000,322.7500000,317.4000000,318.6000000,5528540
MTSS,D,20210309,000000,315.9500000,317.7500000,313.0500000,313.9000000,10211660
MTSS,D,20210310,000000,314.6000000,317.7000000,313.2500000,315.3000000,9469030
MTSS,D,20210311,000000,316.0000000,320.3000000,315.9500000,319.5000000,6310140
MTSS,D,20210312,000000,319.2500000,323.1500000,318.7000000,320.7000000,5541690
MTSS,D,20210315,000000,321.9000000,323.7500000,319.7000000,321.5000000,4197420
MTSS,D,20210316,000000,321.8000000,322.7500000,317.7500000,318.2500000,5400450
MTSS,D,20210317,000000,318.9000000,320.0000000,315.5000000,317.9000000,7241990
MTSS,D,20210318,000000,318.1000000,319.3000000,315.1000000,316.2500000,4605660
MTSS,D,20210319,000000,317.5000000,319.8500000,315.6500000,317.4000000,6449820
MTSS,D,20210322,000000,318.1000000,320.0500000,316.7500000,319.3500000,3120560
MTSS,D,20210323,000000,318.9000000,319.0000000,315.0500000,315.9000000,4306010
MTSS,D,20210324,000000,316.4000000,316.8500000,314.2500000,315.2000000,5612910
MTSS,D,20210325,000000,315.4500000,316.6500000,313.6000000,314.5500000,5510560
MTSS,D,20210326,000000,315.4500000,315.4500000,313.4500000,315.0500000,5246310
MTSS,D,20210329,000000,314.9500000,316.5000000,314.3000000,316.1500000,4413430
MTSS,D,20210330,000000,316.2500000,317.7000000,314.3000000,315.0000000,4572310
MTSS,D,20210331,000000,314.9500000,316.9000000,314.6500000,316.2000000,4121840
MTSS,D,20210401,000000,316.4500000,317.6000000,315.6000000,316.9000000,3681170
MTSS,D,20210402,000000,316.6000000,317.6000000,315.5500000,317.4000000,2253400
MTSS,D,20210405,000000,317.6500000,318.2000000,315.9500000,317.5000000,2451600
MTSS,D,20210406,000000,317.0500000,318.6000000,316.4000000,317.2500000,3357290
MTSS,D,20210407,000000,317.3000000,317.5000000,315.5500000,317.0500000,3694950
MTSS,D,20210408,000000,317.1500000,317.5500000,316.5500000,316.9000000,2646290
